"시도별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)",합계,합계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과개방,정신과개방,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시도별(1)",소계,소계,소계,소계,상급,상급,일반,일반,외국인,외국인,소계,소계,소계,소계,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시도별(1)",병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개)
"계",195441,724212,178127,638105,44225,59918,133885,578082,17,105,2015,9167,11221,59267,1094,11441,932,9542,162,1899,2711,5803,273,429
"서울특별시",27756,92577,25969,84729,7449,9268,18506,75361,14,100,115,435,673,3143,254,2697,204,2116,50,581,609,1359,136,214
"부산광역시",18867,69800,17411,62812,4543,6854,12868,55958,0,0,173,705,971,4939,64,861,53,707,11,154,230,457,18,26
"대구광역시",10486,41069,9531,36054,2232,2807,7299,33247,0,0,159,777,595,3255,60,586,39,432,21,154,125,373,16,24
"인천광역시",9323,36651,8418,32092,1569,1985,6849,30107,0,0,96,485,570,3045,51,616,45,540,6,76,176,400,12,13
"광주광역시",11511,39257,10938,36689,2377,3381,8561,33308,0,0,127,554,310,1434,27,412,24,332,3,80,106,165,3,3
"대전광역시",6301,23559,5890,21116,1635,2241,4255,18875,0,0,32,181,273,1728,46,448,42,352,4,96,51,67,9,19
"울산광역시",4241,15257,3904,13594,1327,1854,2577,11740,0,0,61,263,220,1140,16,198,15,172,1,26,35,55,5,7
"세종특별자치시",728,2069,692,1930,254,350,437,1579,1,1,0,0,25,93,3,37,2,22,1,15,6,7,2,2
"경기도",38253,143126,34949,126391,8709,11509,26239,114881,1,1,289,1327,2233,12023,290,2379,255,2037,35,342,452,938,40,68
"강원특별자치도",4711,17017,4198,14433,1055,1369,3143,13064,0,0,67,324,305,1632,53,428,47,375,6,53,85,196,3,4
"충청북도",5654,21383,4798,17160,1267,1654,3531,15506,0,0,88,437,647,3214,21,322,19,292,2,30,99,246,1,4
"충청남도",7208,28596,6425,24723,1467,1937,4958,22786,0,0,83,412,556,2852,27,359,25,304,2,55,117,250,0,0
"전라북도",10542,39581,9761,35873,2156,3155,7605,32718,0,0,86,285,463,2387,28,445,25,388,3,57,197,577,7,14
"전라남도",11293,41485,10322,36627,2330,3419,7992,33208,0,0,157,724,665,3569,36,394,33,369,3,25,105,159,8,12
"경상북도",10698,43561,9196,35350,1798,2570,7398,32780,0,0,235,1125,1115,6431,49,501,47,485,2,16,103,154,0,0
"경상남도",16422,64050,14460,54045,3699,5130,10760,48912,1,3,236,1097,1502,8003,51,579,43,463,8,116,164,313,9,13
"제주특별자치도",1447,5174,1265,4487,358,435,907,4052,0,0,11,36,98,379,18,179,14,156,4,23,51,87,4,6
