Country Name,Country Code,year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)",Cereal production (metric tons),Cereal yield (kg per hectare),CPIA gender equality rating (1=low to 6=high),Crop production index (2004-2006 = 100),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2004-2006 = 100),Forest area (% of land area),Forest area (sq. km),GDP per capita (current US$),Land area (sq. km),Land under cereal production (hectares),"Literacy rate, adult total (% of people ages 15 and above)",Livestock production index (2004-2006 = 100),Mineral rents (% of GDP),"Mortality rate, infant (per 1,000 live births)",Net migration,Permanent cropland (% of land area),"Population, total",Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
Afghanistan,AFG,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.279,NA,NA,NA,NA,32.219,NA,NA,NA,NA,NA,NA,NA,NA,59.773193840985314,NA,NA,NA,NA,NA,NA,NA,NA,8996973,NA,NA,NA,8241137,91.599,NA,NA,NA
Afghanistan,AFG,1961,NA,NA,NA,57.745917960971724,377000,120,0.1568627450980392,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.717673007995588,0.8342957725742441,7650000,NA,51.373,3695000,1115.1,NA,65.69,31.649,NA,NA,NA,NA,NA,53.21,NA,NA,59.860873879077886,652860,3313500,NA,43.37,NA,NA,NA,0.07658609809147443,9169410,NA,NA,NA,8373138,91.316,1.5890404795149125,NA,652860
Afghanistan,AFG,1962,NA,NA,NA,57.83782127868149,377600,150,0.19480519480519481,NA,NA,NA,NA,53.75585241758862,0.9666166172773913,NA,NA,NA,11.794259106087063,0.8234025109071426,7700000,327,51.457,3696000,1079,NA,67.18,31.093,NA,NA,NA,NA,NA,53.86,NA,NA,58.4580149495439,652860,3425500,NA,43.99,NA,232,-20000,0.09190331770976932,9351441,NA,NA,NA,8512056,91.024,1.6454786890707835,NA,652860
Afghanistan,AFG,1963,NA,NA,NA,57.91440737677297,378100,200,0.25806451612903225,NA,NA,NA,NA,61.100605009968135,1.394437964312096,NA,NA,NA,11.870845204178536,0.8120961458964782,7750000,NA,51.53,3378000,985.8,NA,65.58,30.551,NA,NA,NA,NA,NA,53.83,NA,NA,78.70638754078017,652860,3426500,NA,47.03,NA,227.8,NA,0.09190331770976932,9543205,NA,NA,NA,8657977,90.724,1.6997580988588015,NA,652860
Afghanistan,AFG,1964,NA,NA,NA,58.010905860368226,378730,200,0.2564102564102564,NA,NA,NA,NA,54.43718346758586,1.4982337006342696,NA,NA,NA,11.947431302270012,0.800428454985289,7800000,NA,51.589,3732000,1082.8,NA,71.31,30.022,NA,NA,NA,NA,NA,58.23,NA,NA,82.09523071318323,652860,3446500,NA,48.56,NA,223.9,NA,0.11181570321355266,9744781,NA,NA,NA,8810646,90.414,1.747967051245661,NA,652860
Afghanistan,AFG,1965,NA,NA,NA,58.01396930429189,378750,300,0.38461538461538464,NA,NA,NA,NA,45.76089560551361,1.0801555648201238,NA,NA,NA,11.947431302270012,0.7834219872402655,7800000,NA,51.631,3785000,1098.9,NA,73.82,29.501,NA,NA,NA,NA,NA,61.03,NA,NA,101.10830485337733,652860,3444500,NA,51.43,NA,219.9,NA,0.11487914713721166,9956320,NA,NA,NA,8970246,90.096,1.795233741775674,NA,652860
Afghanistan,AFG,1966,NA,NA,NA,58.07217473884141,379130,400,0.5105296745373326,NA,NA,NA,NA,51.7149818174326,0.6729085920901792,NA,NA,NA,12.001041570934044,0.7700369814314452,7835000,NA,51.652,3489000,1012.3,NA,72.59,28.985,NA,NA,NA,NA,NA,63.15,NA,NA,137.5943520531109,652860,3446500,NA,56.97,NA,216.1,NA,0.11947431302270012,10174836,NA,NA,NA,9133645,89.767,1.805174778747548,NA,652860
Afghanistan,AFG,1967,NA,NA,NA,58.17326838832215,379790,500,0.6374298827129016,NA,NA,NA,NA,46.35572631341163,0.8276095023587696,NA,NA,NA,12.01482706859051,0.754236135910967,7844000,327,51.65,3826000,1224.5,NA,80.97,28.468,NA,NA,NA,NA,NA,69.15,NA,NA,160.8985888724379,652860,3124500,NA,60.26,NA,212.4,-20000,0.20678246484698098,10399926,NA,NA,NA,9300654,89.43,1.8119872036045919,NA,652860
Afghanistan,AFG,1968,NA,NA,NA,58.17480011028399,379800,500,0.6374298827129016,NA,NA,NA,NA,38.092087352458194,1.0351631147320184,NA,NA,NA,12.01482706859051,0.7374215984243019,7844000,NA,51.623,3916000,1287.5,NA,82.92,27.946,NA,NA,NA,NA,NA,72.22,NA,NA,129.1083231025958,652860,3041500,NA,64.81,NA,208.6,NA,0.20831418680881045,10637063,NA,NA,NA,9475708,89.082,1.864675086467565,NA,652860
Afghanistan,AFG,1969,NA,NA,NA,58.19930766167325,379960,550,0.6997455470737913,NA,0,NA,0,38.050799357188026,1.4648990638378692,NA,NA,NA,12.039334619979781,0.721512907921,7860000,NA,51.574,4038000,1310.4,NA,85.2,27.418,NA,NA,NA,NA,NA,73.26,NA,NA,129.32971287662076,652860,3081500,NA,65.16,NA,204.7,NA,0.20831418680881045,10893776,NA,NA,NA,9665503,88.725,1.9831683629834647,NA,652860
Afghanistan,AFG,1970,NA,NA,NA,58.21462488129154,380060,550,0.6988564167725541,77.07323326350055,7863.011257542326,85.98793425129895,2615.9733470000006,35.82400386734328,1.4603322701553163,NA,NA,NA,12.054651839598076,0.7043361510955872,7870000,NA,51.502,3512000,1105.1,NA,77.18,26.88,NA,NA,NA,NA,NA,66.72,NA,NA,156.51893944298158,652860,3178000,NA,59.48,0,200.9,NA,0.20831418680881045,11173642,NA,NA,NA,9872695,88.357,2.1209711057661544,NA,652860
Afghanistan,AFG,1971,NA,NA,NA,58.26057654014644,380360,600,0.7594936708860759,76.64942425661587,7819.391015538668,85.3886825296322,2566.901804,45.65635021873696,0.9822160885047665,NA,NA,NA,12.10060349845296,0.6884264618931989,7900000,NA,51.411,3319000,976.2,NA,69.44,26.334,NA,NA,NA,NA,NA,61.91,NA,NA,159.56757852188835,652860,3400000,NA,57.6,0,197.1,NA,0.20831418680881045,11475445,NA,NA,NA,10095982,87.979,2.2364657093447162,NA,652860
