일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2024/09/20","748.33","8.82","1.19","746.13","750.75","745.32","848312.0","6520263.0","3.68620726E8"
"2024/09/19","739.51","6.31","0.86","738.41","740.31","729.93","1104713.0","5852797.0","3.64213087E8"
"2024/09/13","733.20","2.17","0.30","733.36","734.35","726.37","1015094.0","5241893.0","3.61113744E8"
"2024/09/12","731.03","21.61","3.05","719.29","733.81","719.29","870759.0","6224173.0","3.60078539E8"
"2024/09/11","709.42","3.22","0.46","709.50","718.65","706.93","1046881.0","6411247.0","3.49448576E8"
"2024/09/10","706.20","-8.26","-1.16","717.97","719.40","706.12","910266.0","5812453.0","3.47842441E8"
"2024/09/09","714.46","7.87","1.11","696.25","716.11","693.86","784076.0","5374290.0","3.51964616E8"
"2024/09/06","706.59","-18.69","-2.58","725.88","726.48","705.67","861738.0","6232229.0","3.48066399E8"
"2024/09/05","725.28","-6.47","-0.88","736.96","740.23","718.25","950492.0","7047558.0","3.57244944E8"
"2024/09/04","731.75","-28.62","-3.76","738.59","741.52","729.32","1011498.0","6941247.0","3.6042245E8"
"2024/09/03","760.37","-8.84","-1.15","769.68","773.15","760.07","849514.0","6831746.0","3.7434972E8"
"2024/09/02","769.21","1.55","0.20","769.85","770.01","764.15","742708.0","7178329.0","3.78542487E8"
"2024/08/30","767.66","11.62","1.54","758.19","768.31","757.87","823296.0","7401837.0","3.7759719E8"
"2024/08/29","756.04","-6.46","-0.85","756.33","758.99","754.00","837870.0","7335104.0","3.71491367E8"
"2024/08/28","762.50","-2.45","-0.32","766.32","767.28","761.06","868584.0","7021101.0","3.74666856E8"
"2024/08/27","764.95","-1.84","-0.24","765.10","767.37","757.08","833341.0","6795552.0","3.75886355E8"
"2024/08/26","766.79","-6.47","-0.84","776.94","777.91","764.46","828774.0","6632080.0","3.76585625E8"
"2024/08/23","773.26","-0.21","-0.03","765.49","774.20","764.83","904335.0","7946182.0","3.79786319E8"
"2024/08/22","773.47","-6.40","-0.82","782.59","783.89","768.48","950992.0","9216819.0","3.79694443E8"
"2024/08/21","779.87","-7.57","-0.96","783.98","784.92","775.30","1073926.0","8370582.0","3.82646545E8"
"2024/08/20","787.44","9.97","1.28","783.73","787.95","783.35","997056.0","7990594.0","3.86033655E8"
"2024/08/19","777.47","-8.86","-1.13","787.32","788.79","776.71","1135628.0","7653033.0","3.80846103E8"
"2024/08/16","786.33","9.50","1.22","787.34","788.86","783.88","1080402.0","8000416.0","3.85133346E8"
"2024/08/14","776.83","11.97","1.56","775.11","778.66","774.17","1111020.0","7691492.0","3.80339149E8"
"2024/08/13","764.86","-7.86","-1.02","771.98","773.90","757.19","1170514.0","7661966.0","3.74521308E8"
"2024/08/12","772.72","8.29","1.08","767.21","775.31","767.21","885108.0","6850312.0","3.7845954E8"
"2024/08/09","764.43","19.15","2.57","759.91","768.21","759.91","843852.0","7392825.0","3.74306001E8"
"2024/08/08","745.28","-3.26","-0.44","738.29","751.51","732.74","1012601.0","7169986.0","3.64930929E8"
"2024/08/07","748.54","15.67","2.14","731.82","754.41","731.44","947156.0","7334434.0","3.66522463E8"
"2024/08/06","732.87","41.59","6.02","709.04","738.77","707.72","1075213.0","8382026.0","3.58723664E8"
"2024/08/05","691.28","-88.05","-11.30","765.57","765.57","672.57","1173847.0","9066224.0","3.38426509E8"
"2024/08/02","779.33","-34.20","-4.20","799.45","799.97","778.39","845791.0","6546469.0","3.81414823E8"
"2024/08/01","813.53","10.38","1.29","807.52","815.28","807.50","644081.0","6080753.0","3.98072444E8"
"2024/07/31","803.15","-0.63","-0.08","802.00","804.17","795.18","798866.0","6721266.0","3.9287456E8"
"2024/07/30","803.78","-4.21","-0.52","805.17","807.38","800.36","842014.0","6262356.0","3.92989282E8"
