일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/09/20","2559.74","0.53","0.02","2556.55","2566.62","2551.12","414668.0","7571716.0","2.03028156E9"
"2023/09/19","2559.21","-15.51","-0.60","2579.36","2583.25","2555.46","462342.0","7827325.0","2.030125918E9"
"2023/09/18","2574.72","-26.56","-1.02","2588.69","2596.55","2573.26","416290.0","8772091.0","2.042003996E9"
"2023/09/15","2601.28","28.39","1.10","2574.98","2611.00","2572.37","441730.0","1.1995227E7","2.063455243E9"
"2023/09/14","2572.89","38.19","1.51","2544.89","2572.89","2541.11","412509.0","9577503.0","2.041171664E9"
"2023/09/13","2534.70","-1.88","-0.07","2536.22","2549.38","2528.18","417576.0","9270999.0","2.011458185E9"
"2023/09/12","2536.58","-20.30","-0.79","2566.42","2568.55","2535.15","359410.0","8927207.0","2.012514265E9"
"2023/09/11","2556.88","9.20","0.36","2549.88","2556.89","2540.44","411070.0","8340733.0","2.027845902E9"
"2023/09/08","2547.68","-0.58","-0.02","2546.07","2550.96","2530.05","396289.0","7718993.0","2.020844444E9"
"2023/09/07","2548.26","-15.08","-0.59","2554.87","2562.42","2539.24","377271.0","8325827.0","2.021630331E9"
"2023/09/06","2563.34","-18.84","-0.73","2577.41","2585.98","2560.09","422126.0","7626693.0","2.033216059E9"
"2023/09/05","2582.18","-2.37","-0.09","2578.91","2586.65","2575.19","384579.0","7590069.0","2.048141825E9"
"2023/09/04","2584.55","20.84","0.81","2566.93","2584.55","2560.32","342073.0","8699609.0","2.050034096E9"
"2023/09/01","2563.71","7.44","0.29","2551.93","2568.42","2551.04","493367.0","1.0029746E7","2.033321986E9"
"2023/08/31","2556.27","-4.95","-0.19","2564.45","2568.06","2547.72","473169.0","1.1334961E7","2.025220695E9"
"2023/08/30","2561.22","9.06","0.35","2575.42","2578.62","2561.22","364003.0","7765445.0","2.029672345E9"
"2023/08/29","2552.16","8.75","0.34","2550.76","2556.98","2545.27","441366.0","8275017.0","2.022518944E9"
"2023/08/28","2543.41","24.27","0.96","2534.42","2543.41","2525.64","483588.0","8221906.0","2.0158259E9"
"2023/08/25","2519.14","-18.54","-0.73","2505.39","2526.37","2502.05","577384.0","8302851.0","1.997701491E9"
"2023/08/24","2537.68","32.18","1.28","2531.78","2539.44","2520.73","441140.0","1.0099466E7","2.012082433E9"
"2023/08/23","2505.50","-10.24","-0.41","2510.00","2517.51","2499.89","547170.0","8577994.0","1.986575329E9"
"2023/08/22","2515.74","6.94","0.28","2528.39","2533.43","2509.53","471809.0","9270272.0","1.994100741E9"
"2023/08/21","2508.80","4.30","0.17","2511.70","2524.41","2505.59","399459.0","8524818.0","1.988814382E9"
"2023/08/18","2504.50","-15.35","-0.61","2495.18","2519.60","2489.63","557785.0","1.0776836E7","1.985148457E9"
"2023/08/17","2519.85","-5.79","-0.23","2512.92","2520.56","2482.06","735133.0","1.0727642E7","1.997270646E9"
"2023/08/16","2525.64","-45.23","-1.76","2550.13","2550.53","2520.87","685136.0","1.2025529E7","2.001820771E9"
"2023/08/14","2570.87","-20.39","-0.79","2586.51","2592.91","2561.88","624378.0","9995329.0","2.03718854E9"
"2023/08/11","2591.26","-10.30","-0.40","2611.25","2616.84","2589.94","675390.0","1.0513466E7","2.053371191E9"
"2023/08/10","2601.56","-3.56","-0.14","2592.40","2601.56","2590.02","568155.0","1.1349005E7","2.061336432E9"
"2023/08/09","2605.12","31.14","1.21","2580.60","2608.98","2576.21","467527.0","1.0326262E7","2.064557283E9"
"2023/08/08","2573.98","-6.73","-0.26","2598.29","2601.41","2568.15","638419.0","1.2435382E7","2.039632194E9"
"2023/08/07","2580.71","-22.09","-0.85","2591.58","2607.36","2580.71","504071.0","1.1894471E7","2.044894112E9"
"2023/08/04","2602.80","-2.59","-0.10","2606.17","2612.30","2598.38","645750.0","1.0971353E7","2.061747668E9"
"2023/08/03","2605.39","-11.08","-0.42","2624.76","2625.45","2591.30","789416.0","1.4921529E7","2.064281827E9"
"2023/08/02","2616.47","-50.60","-1.90","2651.53","2660.90","2611.77","704674.0","1.6001904E7","2.07366862E9"
"2023/08/01","2667.07","34.49","1.31","2644.34","2668.21","2639.10","493643.0","1.5851941E7","2.113135323E9"
"2023/07/31","2632.58","24.26","0.93","2628.87","2639.45","2622.21","454243.0","1.5688014E7","2.085912205E9"
"2023/07/28","2608.32","4.51","0.17","2593.67","2609.54","2586.33","503267.0","1.6807324E7","2.068133763E9"
"2023/07/27","2603.81","11.45","0.44","2599.82","2617.61","2586.36","594163.0","2.4076449E7","2.064695783E9"
"2023/07/26","2592.36","-44.10","-1.67","2638.76","2639.21","2580.98","834107.0","3.6348206E7","2.054936941E9"
"2023/07/25","2636.46","7.93","0.30","2643.35","2646.71","2621.60","723472.0","1.9204605E7","2.090016052E9"
"2023/07/24","2628.53","18.77","0.72","2608.47","2636.06","2595.21","529363.0","1.9050421E7","2.083819625E9"
"2023/07/21","2609.76","9.53","0.37","2581.06","2609.76","2570.58","501872.0","1.22588E7","2.069758933E9"
"2023/07/20","2600.23","-8.01","-0.31","2595.38","2611.34","2589.29","372365.0","9473224.0","2.063004507E9"
"2023/07/19","2608.24","0.62","0.02","2622.24","2622.54","2598.52","440074.0","1.1231686E7","2.069336034E9"
"2023/07/18","2607.62","-11.38","-0.43","2624.59","2626.89","2600.67","493202.0","1.2003817E7","2.068793756E9"
"2023/07/17","2619.00","-9.30","-0.35","2617.67","2627.12","2611.55","550570.0","1.1732182E7","2.07768098E9"
"2023/07/14","2628.30","37.07","1.43","2607.47","2628.30","2603.36","569815.0","1.42853E7","2.085155475E9"
"2023/07/13","2591.23","16.51","0.64","2589.89","2602.21","2587.75","585661.0","1.325801E7","2.05614481E9"
"2023/07/12","2574.72","12.23","0.48","2557.61","2574.73","2554.26","696924.0","1.3229938E7","2.043134139E9"
