일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/09/25","17305.13","-132.42","-0.76","17440.25","17466.12","17199.03","27239.0","154995.0","4.3992929E7"
"2023/09/22","17437.55","124.37","0.72","17292.57","17542.16","17254.71","13010.0","104152.0","4.432564E7"
"2023/09/21","17313.18","-106.48","-0.61","17457.79","17579.33","17256.75","30851.0","163377.0","4.4011341E7"
"2023/09/20","17419.66","-22.75","-0.13","17391.73","17425.49","17198.13","31177.0","142173.0","4.4278134E7"
"2023/09/19","17442.41","299.95","1.75","17136.94","17516.63","17136.94","83266.0","316795.0","4.4333953E7"
"2023/09/18","17142.46","-222.69","-1.28","17241.23","17280.21","17087.89","18005.0","104443.0","4.3579498E7"
"2023/09/15","17365.15","384.67","2.27","16943.64","17437.95","16943.64","15238.0","179671.0","4.4141194E7"
"2023/09/14","16980.48","50.51","0.30","16919.34","17112.37","16778.84","8321.0","101778.0","4.3166702E7"
"2023/09/13","16929.97","323.89","1.95","16577.59","17059.36","16549.36","11750.0","121674.0","4.304546E7"
"2023/09/12","16606.08","-132.91","-0.79","16770.18","16839.00","16566.06","3794.0","65222.0","4.2225806E7"
"2023/09/11","16738.99","463.13","2.85","16249.52","16813.21","16249.52","10141.0","118538.0","4.2557092E7"
"2023/09/08","16275.86","368.51","2.32","15920.97","16275.86","15868.75","3587.0","84455.0","4.1387211E7"
"2023/09/07","15907.35","56.97","0.36","15728.92","15907.35","15728.92","2426.0","46386.0","4.0458357E7"
"2023/09/06","15850.38","100.30","0.64","15651.91","15948.94","15651.91","2273.0","51258.0","4.0315219E7"
"2023/09/05","15750.08","-0.68","0.00","15695.27","15805.63","15695.27","3523.0","37560.0","4.0060998E7"
"2023/09/04","15750.76","-43.47","-0.28","15561.50","15750.76","15462.71","2329.0","49181.0","4.0061376E7"
"2023/09/01","15794.23","-17.01","-0.11","15749.08","15884.07","15688.84","2796.0","48604.0","4.0173067E7"
"2023/08/31","15811.24","53.95","0.34","15747.83","15924.46","15730.29","6244.0","88154.0","4.0217277E7"
"2023/08/30","15757.29","-179.90","-1.13","15949.95","15949.95","15674.27","5465.0","74462.0","4.008043E7"
"2023/08/29","15937.19","11.97","0.08","15940.25","16051.84","15890.67","2470.0","46992.0","4.0541622E7"
"2023/08/28","15925.22","153.67","0.97","15884.56","15973.79","15761.26","2963.0","46627.0","4.0510434E7"
"2023/08/25","15771.55","200.18","1.29","15523.61","15841.06","15506.97","3829.0","79357.0","4.0122909E7"
"2023/08/24","15571.37","-136.24","-0.87","15772.15","15772.15","15426.61","2512.0","53176.0","3.961818E7"
"2023/08/23","15707.61","266.70","1.73","15422.70","15810.06","15414.89","3043.0","66217.0","3.9961346E7"
"2023/08/22","15440.91","-144.59","-0.93","15533.12","15542.82","15407.20","3149.0","54594.0","3.928707E7"
"2023/08/21","15585.50","111.20","0.72","15597.50","15655.29","15435.14","3941.0","49233.0","3.9652749E7"
"2023/08/18","15474.30","42.87","0.28","15362.08","15727.65","15362.04","4225.0","84981.0","3.9373035E7"
"2023/08/17","15431.43","-105.91","-0.68","15555.12","15560.78","15311.42","4588.0","58690.0","3.9256968E7"
"2023/08/16","15537.34","-310.61","-1.96","15773.14","15773.14","15481.24","5367.0","80862.0","3.9520009E7"
"2023/08/14","15847.95","-75.91","-0.48","15877.50","15897.09","15685.60","3748.0","44119.0","4.0295436E7"
"2023/08/11","15923.86","161.09","1.02","15828.13","16131.63","15819.57","3599.0","68309.0","4.0484787E7"
"2023/08/10","15762.77","-173.91","-1.09","15899.80","16008.65","15667.99","4854.0","73200.0","4.0078134E7"
"2023/08/09","15936.68","-146.87","-0.91","16052.02","16080.27","15841.90","2270.0","59986.0","4.0517917E7"
"2023/08/08","16083.55","237.42","1.50","15979.98","16187.31","15886.64","3535.0","74459.0","4.08892E7"
"2023/08/07","15846.13","120.94","0.77","15721.67","15989.19","15721.67","3568.0","58565.0","4.0292132E7"
"2023/08/04","15725.19","330.37","2.15","15340.72","15757.00","15332.17","3569.0","79222.0","3.9983259E7"
"2023/08/03","15394.82","-114.27","-0.74","15605.60","15637.91","15336.77","2865.0","49900.0","3.9147128E7"
"2023/08/02","15509.09","91.14","0.59","15439.52","15622.43","15326.62","3260.0","70082.0","3.9432909E7"
"2023/08/01","15417.95","-69.17","-0.45","15376.05","15480.58","15261.07","2137.0","52409.0","3.9205714E7"
"2023/07/31","15487.12","67.75","0.44","15535.40","15545.03","15373.69","2978.0","55726.0","3.9378142E7"
"2023/07/28","15419.37","-57.43","-0.37","15379.67","15490.22","15230.00","2405.0","53722.0","3.9208932E7"
"2023/07/27","15476.80","407.61","2.70","15155.64","15476.80","15155.64","3244.0","67947.0","3.9354358E7"
"2023/07/26","15069.19","-213.68","-1.40","15256.98","15256.98","14815.94","5677.0","87272.0","3.8326177E7"
"2023/07/25","15282.87","189.62","1.26","15236.60","15354.51","15091.27","3284.0","76428.0","3.8864183E7"
"2023/07/24","15093.25","-198.30","-1.30","15169.44","15215.21","14973.73","3312.0","55464.0","3.8386124E7"
"2023/07/21","15291.55","155.70","1.03","15188.12","15369.88","15123.67","2082.0","45578.0","3.8884605E7"
"2023/07/20","15135.85","-93.88","-0.62","15218.40","15218.40","15064.69","1960.0","45392.0","3.8492131E7"
"2023/07/19","15229.73","-44.98","-0.29","15319.14","15411.31","15176.92","2038.0","42649.0","3.8730715E7"
"2023/07/18","15274.71","-119.44","-0.78","15407.69","15466.44","15211.49","2475.0","50282.0","3.8842513E7"
"2023/07/17","15394.15","-275.93","-1.76","15506.09","15650.26","15320.14","2621.0","57944.0","3.9143885E7"
"2023/07/14","15670.08","346.62","2.26","15377.47","15688.86","15377.47","3329.0","95890.0","3.9842511E7"
"2023/07/13","15323.46","-268.68","-1.72","15713.98","15806.82","15276.93","3699.0","97538.0","3.8967252E7"
"2023/07/12","15592.14","-94.21","-0.60","15689.86","15866.18","15473.90","2624.0","84075.0","3.9648296E7"
"2023/07/11","15686.35","231.78","1.50","15532.28","15785.66","15444.94","2573.0","89891.0","3.9884139E7"
