일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/09/23","3794.28","-55.57","-1.44","3862.26","3880.07","3788.35","23312.0","144779.0","2.6485406E7"
"2022/09/22","3849.85","64.04","1.69","3780.84","3862.33","3771.01","67931.0","372213.0","2.6870234E7"
"2022/09/21","3785.81","8.79","0.23","3764.32","3844.85","3764.32","10860.0","107612.0","2.6430132E7"
"2022/09/20","3777.02","87.45","2.37","3720.27","3777.02","3712.87","3960.0","72132.0","2.6371185E7"
"2022/09/19","3689.57","-11.31","-0.31","3714.12","3731.39","3686.32","7881.0","69575.0","2.576604E7"
"2022/09/16","3700.88","14.84","0.40","3682.60","3708.50","3668.42","6142.0","82473.0","2.5844331E7"
"2022/09/15","3686.04","-13.95","-0.38","3701.29","3718.48","3676.38","8875.0","73858.0","2.573855E7"
"2022/09/14","3699.99","-35.92","-0.96","3686.56","3712.05","3649.72","11307.0","80789.0","2.5833371E7"
"2022/09/13","3735.91","56.29","1.53","3721.73","3753.71","3721.73","5996.0","68847.0","2.6079882E7"
"2022/09/08","3679.62","18.89","0.52","3683.48","3701.28","3677.93","15372.0","107553.0","2.5686666E7"
"2022/09/07","3660.73","-59.50","-1.60","3707.67","3710.03","3656.35","6777.0","64677.0","2.5554221E7"
"2022/09/06","3720.23","9.58","0.26","3718.28","3729.48","3700.00","4063.0","36765.0","2.596541E7"
"2022/09/05","3710.65","-31.07","-0.83","3748.58","3756.50","3699.22","6951.0","51892.0","2.5898971E7"
"2022/09/02","3741.72","0.47","0.01","3754.82","3780.43","3735.50","6442.0","61196.0","2.6115992E7"
"2022/09/01","3741.25","-53.23","-1.40","3775.92","3777.08","3739.61","10072.0","83557.0","2.6109684E7"
"2022/08/31","3794.48","2.34","0.06","3782.24","3804.76","3763.28","6360.0","62603.0","2.6481102E7"
"2022/08/30","3792.14","6.54","0.17","3795.84","3805.60","3782.78","7501.0","57963.0","2.6464789E7"
