일자,원/g_종가,원/g_대비,원/g_등락률,원/g_시가,원/g_고가,원/g_저가,$/온스_종가,$/온스_대비,$/온스_등락률,$/온스_시가,$/온스_고가,$/온스_저가
"2023/09/25","82600","-130","-0.16","82750","82780","82330","1922.37","-2.43","-0.13","1925.25","1925.95","1921.02"
"2023/09/22","82730","-340","-0.41","82740","82880","82590","1924.80","-3.91","-0.20","1920.95","1925.90","1920.55"
"2023/09/21","83070","460","0.56","82550","83220","82510","1928.70","-3.17","-0.16","1930.31","1930.46","1924.42"
"2023/09/20","82610","160","0.19","82500","82640","82340","1931.88","1.56","0.08","1931.45","1932.35","1928.65"
"2023/09/19","82450","320","0.39","82350","82480","82060","1930.32","1.47","0.08","1934.05","1934.80","1930.15"
"2023/09/18","82130","310","0.38","81970","82330","81960","1928.86","9.46","0.49","1922.85","1930.52","1922.75"
"2023/09/15","81820","530","0.65","81420","81880","81400","1919.39","12.12","0.64","1910.25","1919.65","1909.90"
"2023/09/14","81290","-400","-0.49","81640","81650","81250","1907.27","-3.08","-0.16","1909.30","1912.85","1907.05"
"2023/09/13","81690","-280","-0.34","81670","81700","81500","1910.36","-9.87","-0.51","1913.15","1913.85","1908.33"
"2023/09/12","81970","-550","-0.67","82250","82260","81840","1920.22","-8.10","-0.42","1921.95","1924.36","1919.01"
"2023/09/11","82520","-30","-0.04","82250","82540","82250","1928.33","2.75","0.14","1918.55","1928.55","1918.49"
"2023/09/08","82550","140","0.17","82440","82600","82320","1925.57","6.00","0.31","1920.25","1927.26","1919.97"
"2023/09/07","82410","10","0.01","82030","82420","82000","1919.57","-6.71","-0.35","1917.65","1920.75","1916.35"
"2023/09/06","82400","-430","-0.52","82430","82770","82310","1926.28","-9.96","-0.51","1926.75","1928.70","1924.35"
"2023/09/05","82830","290","0.35","82240","82830","82180","1936.24","-8.89","-0.46","1938.25","1939.10","1935.13"
"2023/09/04","82540","290","0.35","82250","82590","82240","1945.14","5.29","0.27","1939.85","1946.35","1939.69"
"2023/09/01","82250","-350","-0.42","82440","82560","82070","1939.85","-3.75","-0.19","1939.85","1944.05","1938.34"
"2023/08/31","82600","200","0.24","82720","82930","82590","1943.60","7.00","0.36","1944.21","1947.76","1943.60"
"2023/08/30","82400","650","0.80","82290","82410","82100","1936.60","12.97","0.67","1936.35","1937.42","1935.27"
"2023/08/29","81750","200","0.25","81760","81830","81610","1923.62","6.99","0.36","1921.55","1925.85","1920.99"
"2023/08/28","81550","-30","-0.04","81620","81620","81290","1916.64","1.97","0.10","1915.75","1917.77","1914.56"
"2023/08/25","81580","-150","-0.18","81480","81890","81350","1914.67","-7.45","-0.39","1916.25","1917.58","1913.05"
"2023/08/24","81730","-310","-0.38","82590","82620","81520","1922.12","17.42","0.91","1917.36","1922.73","1917.15"
"2023/08/23","82040","510","0.63","81500","82040","81490","1904.70","5.84","0.31","1898.15","1904.70","1897.99"
"2023/08/22","81530","90","0.11","81530","81530","81530","1898.86","6.03","0.32","1898.86","1898.86","1898.86"
"2023/08/18","81440","-380","-0.46","81560","81620","81120","1892.83","-3.59","-0.19","1890.35","1895.17","1890.05"
"2023/08/17","81820","-130","-0.16","81370","81830","81350","1896.42","-10.14","-0.53","1893.05","1896.50","1889.89"
"2023/08/16","81950","110","0.13","81360","82010","81350","1906.56","-6.12","-0.32","1901.35","1906.56","1900.74"
"2023/08/14","81840","160","0.20","81540","82060","81480","1912.67","-4.86","-0.25","1914.35","1914.52","1910.31"
"2023/08/11","81680","530","0.65","80920","81690","80910","1917.54","-0.32","-0.02","1912.60","1917.65","1911.95"
"2023/08/10","81150","-520","-0.64","81090","81330","81010","1917.86","-12.95","-0.67","1916.88","1919.15","1915.70"
"2023/08/09","81670","-120","-0.15","81440","81950","81430","1930.80","-2.83","-0.15","1925.27","1932.35","1924.42"
"2023/08/08","81790","440","0.54","81350","81850","81250","1933.62","-3.59","-0.19","1937.15","1937.45","1931.45"
"2023/08/07","81350","-60","-0.07","81600","81720","81060","1937.21","4.03","0.21","1944.89","1944.95","1935.61"
"2023/08/04","81410","640","0.79","80830","81510","80750","1933.19","-0.60","-0.03","1935.30","1938.06","1932.31"
"2023/08/03","80770","-620","-0.76","80830","81080","80610","1933.80","-15.72","-0.81","1936.10","1938.94","1933.10"
"2023/08/02","81390","600","0.74","80600","81430","80560","1949.52","-7.93","-0.41","1952.80","1952.85","1945.48"
"2023/08/01","80790","640","0.80","80540","80900","80480","1957.45","1.51","0.08","1965.35","1965.35","1955.98"
"2023/07/31","80150","20","0.02","80430","80450","79910","1955.94","4.22","0.22","1958.90","1959.54","1953.38"
"2023/07/28","80130","-1070","-1.32","79960","80470","79960","1951.72","-24.85","-1.26","1946.58","1956.75","1946.13"
"2023/07/27","81200","500","0.62","80840","81220","80420","1976.57","7.04","0.36","1972.77","1982.08","1971.30"
"2023/07/26","80700","210","0.26","80600","80920","80570","1969.54","6.70","0.34","1965.60","1969.97","1962.13"
"2023/07/25","80490","-190","-0.24","80410","80850","80400","1962.84","2.22","0.11","1954.00","1963.80","1953.76"
"2023/07/24","80680","-670","-0.82","80950","81260","80610","1960.62","-10.81","-0.55","1961.90","1962.55","1958.13"
"2023/07/21","81350","480","0.59","80500","81450","80500","1971.42","-9.21","-0.47","1971.74","1973.85","1968.17"
"2023/07/20","80870","580","0.72","80450","80930","80450","1980.64","7.45","0.38","1977.10","1987.60","1977.10"
"2023/07/19","80290","880","1.11","80150","80650","80110","1973.19","13.51","0.69","1978.00","1979.81","1973.19"
"2023/07/18","79410","-160","-0.20","79630","79660","79200","1959.68","5.78","0.30","1955.40","1961.80","1954.60"
"2023/07/17","79570","-70","-0.09","79440","79770","79380","1953.90","-3.03","-0.15","1952.10","1956.88","1951.36"
"2023/07/14","79640","-730","-0.91","80330","80350","79490","1956.93","-5.21","-0.27","1961.15","1963.83","1956.37"
"2023/07/13","80370","200","0.25","81110","81130","80150","1962.14","27.14","1.40","1957.75","1962.56","1955.42"
"2023/07/12","80170","-310","-0.39","80410","80710","80170","1935.00","0.05","0.00","1933.30","1941.30","1933.09"
"2023/07/11","80480","-330","-0.41","80880","80880","80020","1934.95","11.07","0.58","1925.45","1937.96","1924.49"
"2023/07/10","80810","460","0.57","80740","80830","80390","1923.88","8.78","0.46","1924.25","1926.91","1919.35"
"2023/07/07","80350","-10","-0.01","79970","80540","79950","1915.10","-6.14","-0.32","1911.95","1915.60","1909.72"
"2023/07/06","80360","130","0.16","80040","80550","80020","1921.23","-0.52","-0.03","1917.09","1921.46","1916.25"
"2023/07/05","80230","-370","-0.46","80590","80750","80210","1921.75","-4.65","-0.24","1926.05","1927.10","1921.23"
