일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/09/23","13302.49","-259.62","-1.91","13562.66","13566.14","13270.89","9680.0","296773.0","1.10282915E8"
"2022/09/22","13562.11","-48.58","-0.36","13479.75","13639.52","13346.06","13189.0","365651.0","1.12435991E8"
"2022/09/21","13610.69","-344.74","-2.47","13900.60","13913.09","13559.75","6629.0","305758.0","1.12838546E8"
"2022/09/20","13955.43","-54.55","-0.39","14140.06","14154.87","13912.35","6914.0","246980.0","1.15694526E8"
"2022/09/19","14009.98","-62.19","-0.44","14119.09","14161.02","13949.03","8120.0","240552.0","1.16145789E8"
"2022/09/16","14072.17","-181.17","-1.27","14130.38","14138.93","14035.29","11266.0","375136.0","1.16665204E8"
"2022/09/15","14253.34","-280.76","-1.93","14556.46","14578.04","14232.23","8805.0","273106.0","1.18166287E8"
"2022/09/14","14534.10","-282.80","-1.91","14401.34","14617.54","14275.44","13079.0","361481.0","1.20496838E8"
"2022/09/13","14816.90","404.68","2.81","14627.60","14844.48","14578.25","8129.0","348976.0","1.22840905E8"
"2022/09/08","14412.22","139.30","0.98","14457.30","14584.60","14317.63","7980.0","307830.0","1.19489923E8"
"2022/09/07","14272.92","-154.05","-1.07","14327.49","14334.37","14083.57","16292.0","359375.0","1.18335934E8"
"2022/09/06","14426.97","4.80","0.03","14456.10","14547.86","14391.86","4142.0","177083.0","1.19612393E8"
"2022/09/05","14422.17","-341.82","-2.32","14735.44","14791.50","14331.65","5643.0","259867.0","1.19574016E8"
"2022/09/02","14763.99","82.64","0.56","14754.42","14952.35","14689.98","6734.0","297464.0","1.22407056E8"
"2022/09/01","14681.35","-255.04","-1.71","14814.92","14825.61","14579.94","5799.0","228735.0","1.21724179E8"
"2022/08/31","14936.39","26.85","0.18","14809.34","14997.57","14714.49","5355.0","249915.0","1.23836666E8"
"2022/08/30","14909.54","184.17","1.25","14786.16","14960.03","14663.89","6045.0","239444.0","1.2361394E8"
"2022/08/29","14725.37","-316.84","-2.11","14761.15","14784.83","14650.52","9294.0","252195.0","1.22088336E8"
"2022/08/26","15042.21","-143.01","-0.94","15252.68","15252.68","14975.15","10165.0","337051.0","1.24715612E8"
"2022/08/25","15185.22","286.81","1.93","14996.51","15197.68","14921.79","8611.0","226728.0","1.25897552E8"
"2022/08/24","14898.41","32.65","0.22","14952.08","15010.03","14796.11","5805.0","211729.0","1.23516552E8"
"2022/08/23","14865.76","-402.10","-2.63","15182.76","15182.76","14839.44","10958.0","313502.0","1.23250308E8"
"2022/08/22","15267.86","-266.21","-1.71","15415.01","15472.15","15236.90","10262.0","258186.0","1.26582168E8"
"2022/08/19","15534.07","-147.19","-0.94","15697.80","15758.46","15534.07","6637.0","242455.0","1.28789722E8"
"2022/08/18","15681.26","-233.19","-1.47","15827.43","15862.18","15625.01","7147.0","309017.0","1.30009118E8"
"2022/08/17","15914.45","-321.55","-1.98","16290.84","16335.95","15884.81","9200.0","328053.0","1.31939987E8"
"2022/08/16","16236.00","-16.29","-0.10","16365.02","16382.47","16166.22","14618.0","296469.0","1.3460303E8"
"2022/08/12","16252.29","7.07","0.04","16297.59","16309.15","16095.23","10689.0","410022.0","1.34738603E8"
"2022/08/11","16245.22","187.18","1.17","16171.51","16264.51","16123.55","9927.0","406535.0","1.34674188E8"
"2022/08/10","16058.04","-126.16","-0.78","16200.31","16312.56","15924.81","14617.0","566885.0","1.3312406E8"
"2022/08/09","16184.20","68.88","0.43","16061.00","16214.90","16010.19","11276.0","484766.0","1.34168748E8"
"2022/08/08","16115.32","161.41","1.01","15971.84","16120.36","15902.92","15440.0","466645.0","1.3359644E8"
"2022/08/05","15953.91","451.24","2.91","15584.25","16031.25","15561.59","36201.0","815903.0","1.32261937E8"
"2022/08/04","15502.67","126.31","0.82","15458.04","15565.99","15381.47","10234.0","328499.0","1.28524898E8"
"2022/08/03","15376.36","56.94","0.37","15363.18","15432.31","15291.60","7076.0","265397.0","1.27479709E8"
"2022/08/02","15319.42","-183.45","-1.18","15533.13","15582.06","15249.95","9662.0","312505.0","1.27005738E8"
"2022/08/01","15502.87","61.66","0.40","15355.10","15525.18","15263.41","13381.0","355592.0","1.2852604E8"
"2022/07/29","15441.21","-52.38","-0.34","15577.95","15605.74","15409.46","12159.0","449925.0","1.28015082E8"
"2022/07/28","15493.59","144.23","0.94","15438.27","15593.40","15414.95","14684.0","576240.0","1.28450784E8"
"2022/07/27","15349.36","217.98","1.44","15156.99","15423.88","15137.35","16830.0","657688.0","1.2726039E8"
"2022/07/26","15131.38","38.83","0.26","15098.59","15168.48","15013.25","26878.0","875054.0","1.25453999E8"
"2022/07/25","15092.55","40.86","0.27","15033.43","15159.35","14970.18","12270.0","404099.0","1.25130686E8"
"2022/07/22","15051.69","13.76","0.09","15038.75","15136.91","15005.32","22321.0","728299.0","1.24802581E8"
"2022/07/21","15037.93","-240.50","-1.57","15254.25","15309.51","14972.23","30724.0","745472.0","1.24686877E8"
"2022/07/20","15278.43","106.90","0.70","15273.13","15339.76","15226.08","32677.0","982969.0","1.26685823E8"
"2022/07/19","15171.53","119.81","0.80","15226.58","15325.18","15108.72","35671.0","1134821.0","1.25797068E8"
"2022/07/18","15051.72","-113.05","-0.75","15147.13","15187.40","14882.42","29184.0","1147894.0","1.24796047E8"
"2022/07/15","15164.77","-175.26","-1.14","15280.74","15301.77","15071.79","48731.0","1449307.0","1.25731827E8"
"2022/07/14","15340.03","-1.38","-0.01","15272.81","15341.92","15062.77","31353.0","828697.0","1.27178613E8"
"2022/07/13","15341.41","-21.04","-0.14","15446.73","15507.17","15266.13","20262.0","763451.0","1.27189943E8"
"2022/07/12","15362.45","117.83","0.77","15291.51","15389.42","15116.09","55022.0","1191548.0","1.27361882E8"
"2022/07/11","15244.62","262.56","1.75","14993.28","15314.05","14993.28","29533.0","1018040.0","1.26388347E8"
"2022/07/08","14982.06","-41.99","-0.28","15088.94","15099.45","14821.17","21489.0","776341.0","1.24212507E8"
"2022/07/07","15024.05","398.05","2.72","14776.89","15042.89","14727.74","23498.0","1101302.0","1.24562119E8"
"2022/07/06","14626.00","-0.08","0.00","14546.29","14802.01","14509.76","51901.0","942154.0","1.21261386E8"
"2022/07/05","14626.08","517.68","3.67","14206.97","14626.49","14129.19","14986.0","752995.0","1.21262712E8"
"2022/07/04","14108.40","127.37","0.91","14017.49","14137.56","13909.53","20320.0","372669.0","1.1696997E8"
