일자,전체,SK에너지,GS칼텍스,현대오일뱅크,S-OIL,알뜰주유소,자가상표
"2023/09/25","1690.88","1697.49","1698.69","1693.78","1688.41","1664.42","1667.73"
"2023/09/24","1688.56","1694.89","1696.21","1691.11","1686.33","1663.26","1664.98"
"2023/09/23","1687.48","1693.84","1694.89","1690.00","1685.07","1662.78","1663.83"
"2023/09/22","1685.66","1692.48","1693.32","1687.90","1682.98","1660.52","1662.47"
"2023/09/21","1683.28","1690.39","1690.68","1685.62","1680.70","1657.62","1659.43"
"2023/09/20","1680.89","1688.27","1688.55","1682.30","1678.37","1655.90","1655.68"
"2023/09/19","1677.59","1684.69","1685.69","1678.87","1675.00","1652.54","1656.08"
"2023/09/18","1672.87","1679.84","1680.64","1673.66","1670.92","1648.33","1653.01"
"2023/09/17","1669.35","1676.45","1677.19","1669.86","1667.20","1645.20","1649.97"
"2023/09/16","1668.01","1675.11","1676.21","1668.33","1665.32","1644.49","1648.96"
"2023/09/15","1664.78","1671.44","1673.25","1665.77","1662.14","1640.48","1646.67"
"2023/09/14","1660.96","1667.71","1669.09","1662.26","1658.66","1635.79","1642.41"
"2023/09/13","1658.12","1665.07","1665.98","1659.26","1655.52","1633.75","1639.65"
"2023/09/12","1655.12","1662.19","1663.37","1656.06","1652.00","1631.11","1636.91"
"2023/09/11","1652.38","1659.20","1660.12","1654.05","1649.31","1628.25","1635.16"
"2023/09/10","1649.90","1656.85","1658.06","1650.98","1646.83","1625.76","1634.23"
"2023/09/09","1648.81","1656.28","1656.74","1649.69","1645.60","1624.57","1633.10"
"2023/09/08","1646.94","1654.04","1654.84","1648.42","1643.61","1622.65","1630.50"
"2023/09/07","1644.66","1651.61","1652.61","1646.48","1641.16","1620.28","1627.33"
"2023/09/06","1642.31","1649.31","1650.35","1644.31","1638.57","1617.89","1624.52"
"2023/09/05","1640.25","1647.64","1648.10","1642.14","1636.59","1615.78","1617.38"
"2023/09/04","1638.62","1646.18","1646.47","1640.38","1635.31","1612.98","1620.99"
"2023/09/03","1637.07","1644.76","1645.01","1638.62","1633.78","1611.33","1620.40"
"2023/09/02","1636.43","1644.38","1644.35","1637.80","1633.12","1610.62","1618.19"
"2023/09/01","1635.25","1643.13","1643.07","1637.38","1631.48","1609.15","1616.80"
"2023/08/31","1632.95","1641.22","1641.69","1633.43","1629.66","1606.83","1612.66"
"2023/08/30","1631.95","1640.41","1641.15","1631.45","1629.29","1605.39","1611.29"
"2023/08/29","1630.41","1638.87","1639.77","1629.84","1627.96","1603.28","1610.75"
"2023/08/28","1628.23","1636.46","1637.61","1628.59","1626.01","1599.44","1609.63"
"2023/08/27","1626.59","1635.05","1636.21","1626.76","1624.42","1597.43","1605.18"
"2023/08/26","1625.98","1634.37","1635.76","1625.96","1623.76","1597.26","1602.65"
"2023/08/25","1624.63","1632.79","1634.48","1625.20","1622.19","1595.35","1603.77"
"2023/08/24","1622.94","1631.71","1632.95","1623.05","1620.89","1592.39","1601.10"
"2023/08/23","1621.28","1629.99","1631.65","1621.32","1619.41","1590.05","1599.38"
"2023/08/22","1618.29","1627.44","1627.87","1618.46","1616.94","1586.20","1597.00"
"2023/08/21","1614.83","1624.04","1625.15","1615.47","1614.02","1579.78","1592.46"
"2023/08/20","1611.37","1620.54","1622.28","1611.42","1610.82","1576.02","1589.19"
"2023/08/19","1609.58","1618.70","1620.75","1609.90","1608.35","1574.53","1587.86"
"2023/08/18","1606.03","1615.51","1617.65","1606.01","1604.61","1570.42","1583.66"
"2023/08/17","1601.41","1610.80","1614.01","1601.79","1600.25","1563.64","1575.52"
"2023/08/16","1595.50","1605.84","1605.73","1596.93","1594.37","1557.21","1572.41"
"2023/08/15","1589.29","1599.17","1599.93","1591.15","1588.18","1550.52","1566.72"
"2023/08/14","1581.61","1591.81","1593.35","1582.77","1581.00","1540.79","1559.35"
"2023/08/13","1573.66","1583.30","1586.07","1574.72","1572.74","1533.77","1550.79"
"2023/08/12","1568.97","1578.46","1581.86","1569.73","1567.20","1530.53","1547.03"
