연도,구분,해킹(계정도용),해킹(단순침입),해킹(자료유출),해킹(자료훼손),서비스거부공격,악성프로그램(랜섬웨어),악성프로그램(기타),기타 정보통신망 침해형 범죄,사이버사기(직거래),사이버사기(쇼핑몰),사이버사기(게임),사이버사기(이메일 무역사기),사이버사기(기타),사이버금융범죄(피싱),사이버금융범죄(파밍),사이버금융범죄(스미싱),사이버금융범죄(메모리해킹),사이버금융범죄(몸캠피싱),사이버금융범죄(메신저이용사기),사이버금융범죄(기타),개인위치정보 침해,사이버저작권침해,기타 정보통신망 이용형 범죄,사이버 음란물(일반음란물),사이버 음란물(아동음란물),사이버 음란물(불법촬영물유포),사이버 도박(스포츠토토),사이버 도박(경마 경륜 경정),사이버 도박(카지노),사이버 도박(기타),사이버 명예훼손(모욕),사이버 스토킹,기타 불법 컨텐츠
2020,발생건수,1067,1621,130,358,25,24,145,974,123168,1821,9109,324,39906,1519,29,822,9,2583,12402,2884,241,2183,2594,1366,2623,842,3222,332,429,1709,19388,42,204
2020,검거건수,117,217,46,168,10,0,81,272,93690,1570,6727,20,25226,388,16,43,6,519,2873,776,95,1493,1254,987,2398,678,3154,315,382,1585,12638,39,126
2019,발생건수,751,1458,114,341,35,24,246,669,89797,960,7687,305,37325,2874,45,207,11,1824,2756,2825,179,2562,2559,1769,756,165,3078,366,366,1536,16633,25,251
2019,검거건수,118,277,41,120,14,0,189,248,72935,793,6183,23,25717,984,39,32,3,478,811,1040,78,1772,1510,1436,589,139,3017,352,353,1440,11632,20,176
2018,발생건수,721,1003,114,340,20,33,86,571,74044,647,9380,367,27562,1978,191,293,11,1406,,1742,246,3856,1954,2661,1172,,1629,276,176,931,15926,60,208
2018,검거건수,160,241,41,142,14,1,49,254,60224,526,7545,29,19390,936,100,174,5,281,,857,142,2467,1250,2250,1032,,1599,257,167,924,10889,50,137
2017,발생건수,1160,904,67,299,43,11,156,516,67589,560,7227,187,17073,545,1933,667,12,1234,,1675,413,6667,1489,2043,603,,3169,211,227,1523,13348,59,124
2017,검거건수,619,219,36,116,28,1,121,258,60502,476,6150,19,13593,354,946,83,6,334,,909,298,4134,975,1794,535,,3127,205,228,1520,9756,52,95
2016,발생건수,758,714,71,304,192,0,0,594,76228,2149,4555,0,17437,427,2817,562,12,1193,,1710,2410,9796,2571,2515,1262,,6227,296,592,2423,14908,56,159
2016,검거건수,161,194,38,144,164,0,0,248,68922,1966,3804,0,14672,347,1756,109,7,880,,935,2125,5616,2033,2237,1198,,6141,295,583,2375,10539,53,118
2015,발생건수,1062,809,69,307,40,0,0,701,67861,2184,2731,0,9073,1726,9233,1120,124,102,,2381,609,18770,2448,3523,721,,2270,133,31,918,15043,134,390
2015,검거건수,185,191,36,112,19,0,0,225,57605,1529,2229,0,7081,1222,5064,207,59,38,,1296,296,8832,1200,2801,674,,2242,128,34,961,10202,124,222
2014,발생건수,567,760,116,205,26,0,0,487,45877,1672,1700,0,7418,1962,7101,4917,155,0,,1461,939,14168,2149,3633,721,,2610,151,0,1510,8880,363,431
2014,검거건수,130,226,81,103,16,0,0,221,33502,1352,1244,0,4559,1239,3961,460,71,0,,836,635,7198,1404,3046,693,,2510,147,0,1390,6241,300,316
