통계표,구분코드,계정항목,단위,변환,2024/07
"4.4.3.1. 유형별 주택매매가격지수","종합","전국","2021.6=100","원자료","95.9"
"4.4.3.1. 유형별 주택매매가격지수","종합","수도권","2021.6=100","원자료","95.7"
"4.4.3.1. 유형별 주택매매가격지수","종합","지방","2021.6=100","원자료","96.0"
"4.4.3.1. 유형별 주택매매가격지수","종합","5대광역시","2021.6=100","원자료","90.9"
"4.4.3.1. 유형별 주택매매가격지수","종합","8개도","2021.6=100","원자료","99.9"
"4.4.3.1. 유형별 주택매매가격지수","종합","서울","2021.6=100","원자료","97.9"
"4.4.3.1. 유형별 주택매매가격지수","종합","경기","2021.6=100","원자료","94.7"
"4.4.3.1. 유형별 주택매매가격지수","종합","인천","2021.6=100","원자료","94.2"
"4.4.3.1. 유형별 주택매매가격지수","종합","부산","2021.6=100","원자료","91.8"
"4.4.3.1. 유형별 주택매매가격지수","종합","대구","2021.6=100","원자료","83.8"
"4.4.3.1. 유형별 주택매매가격지수","종합","광주","2021.6=100","원자료","96.8"
"4.4.3.1. 유형별 주택매매가격지수","종합","대전","2021.6=100","원자료","92.8"
"4.4.3.1. 유형별 주택매매가격지수","종합","울산","2021.6=100","원자료","93.4"
"4.4.3.1. 유형별 주택매매가격지수","종합","세종","2021.6=100","원자료","76.3"
"4.4.3.1. 유형별 주택매매가격지수","종합","강원","2021.6=100","원자료","103.5"
"4.4.3.1. 유형별 주택매매가격지수","종합","충북","2021.6=100","원자료","102.0"
"4.4.3.1. 유형별 주택매매가격지수","종합","충남","2021.6=100","원자료","99.4"
"4.4.3.1. 유형별 주택매매가격지수","종합","전북","2021.6=100","원자료","101.5"
"4.4.3.1. 유형별 주택매매가격지수","종합","전남","2021.6=100","원자료","98.7"
"4.4.3.1. 유형별 주택매매가격지수","종합","경북","2021.6=100","원자료","100.6"
"4.4.3.1. 유형별 주택매매가격지수","종합","경남","2021.6=100","원자료","96.6"
"4.4.3.1. 유형별 주택매매가격지수","종합","제주","2021.6=100","원자료","100.6"
"4.4.3.1. 유형별 주택매매가격지수","종합","6대광역시","2021.6=100","원자료","91.7"
"4.4.3.1. 유형별 주택매매가격지수","종합","9개도","2021.6=100","원자료","97.6"
"4.4.3.1. 유형별 주택매매가격지수","아파트","전국","2021.6=100","원자료","93.0"
"4.4.3.1. 유형별 주택매매가격지수","아파트","수도권","2021.6=100","원자료","93.2"
"4.4.3.1. 유형별 주택매매가격지수","아파트","지방","2021.6=100","원자료","92.8"
"4.4.3.1. 유형별 주택매매가격지수","아파트","5대광역시","2021.6=100","원자료","87.6"
"4.4.3.1. 유형별 주택매매가격지수","아파트","8개도","2021.6=100","원자료","98.1"
"4.4.3.1. 유형별 주택매매가격지수","아파트","서울","2021.6=100","원자료","95.9"
"4.4.3.1. 유형별 주택매매가격지수","아파트","경기","2021.6=100","원자료","92.0"
"4.4.3.1. 유형별 주택매매가격지수","아파트","인천","2021.6=100","원자료","91.9"
"4.4.3.1. 유형별 주택매매가격지수","아파트","부산","2021.6=100","원자료","88.6"
"4.4.3.1. 유형별 주택매매가격지수","아파트","대구","2021.6=100","원자료","78.4"
"4.4.3.1. 유형별 주택매매가격지수","아파트","광주","2021.6=100","원자료","95.3"
"4.4.3.1. 유형별 주택매매가격지수","아파트","대전","2021.6=100","원자료","89.6"
"4.4.3.1. 유형별 주택매매가격지수","아파트","울산","2021.6=100","원자료","91.2"
"4.4.3.1. 유형별 주택매매가격지수","아파트","세종","2021.6=100","원자료","72.4"
"4.4.3.1. 유형별 주택매매가격지수","아파트","강원","2021.6=100","원자료","103.7"
"4.4.3.1. 유형별 주택매매가격지수","아파트","충북","2021.6=100","원자료","101.4"
"4.4.3.1. 유형별 주택매매가격지수","아파트","충남","2021.6=100","원자료","98.3"
"4.4.3.1. 유형별 주택매매가격지수","아파트","전북","2021.6=100","원자료","101.3"
"4.4.3.1. 유형별 주택매매가격지수","아파트","전남","2021.6=100","원자료","92.3"
"4.4.3.1. 유형별 주택매매가격지수","아파트","경북","2021.6=100","원자료","98.6"
